DRUG_NO,Cate
AC46404100,7
AC46699100,7
AC47239100,7
AC47510100,7
AC47894100,7
AC48168100,7
AC48309100,7
AC57128100,7
B020452100,7
B022071100,7
B024848100,7
B024967100,7
B025070100,7
B025674100,7
A029804100,7
A034300100,7
A042704100,7
A042840100,7
A042917100,7
A044371100,7
A044687100,7
A045187100,7
A045670100,7
A047093100,7
A048313100,7
A048465100,7
A048559100,7
A048600100,7
A048859100,7
A048994100,7
A052520100,7
A055552100,7
A056716100,7
AC42857100,7
AC44475100,7
AC44607100,7
AC44925100,7
AC45085100,7
AC45448100,7
AC47632100,7
AC48833100,7
AC49966100,7
AC49969100,7
AC57114100,7
B021571100,7
B024364100,7
B024898100,7
B025202100,7
BC25198100,7
BC25199100,7
A044575100,7
A045392100,7
A047536100,7
A049376100,7
A050138100,7
A055896100,7
AB46480100,7
AC43931100,7
AC44098100,7
AC44468100,7
AC44631100,7
AC45510100,7
AC46021100,7
AC49876100,7
AC49963100,7
B017469100,7
B017488100,7
B021149100,7
B021319100,7
A030804100,7
A048803212,7
A048803229,7
A048803240,7
A048882229,7
AC34553100,7
AC42969100,7
B020021229,7
B020254100,7
B020476100,7
A027439100,7
A029436100,7
A035891100,7
A038154100,7
A040168100,7
AC28131100,7
AC29059100,7
AC32801100,7
AC35637100,7
AC38996100,7
AC45177100,7
AC57219100,7
B018413100,7
B018414100,7
B019087100,7
B019855100,7
B019856100,7
B020567100,7
B020568100,7
B020917100,7
B021344100,7
B021962100,7
B022593100,7
B022951100,7
AC47626248,7
AC49057100,7
B018842100,7
B018843248,7
B019842100,7
B019884100,7
A043140100,7
A043970100,7
A044882100,7
A046045100,7
A046046100,7
A049527100,7
A056681100,7
AC48064100,7
AC52616100,7
AC55540100,7
B023235100,7
B023237100,7
A049307100,7
A050258100,7
AC56780100,7
B023293100,7
A056633100,7
A027307212,7
A027775100,7
A030615100,7
A0306151G0,7
A031173100,7
A031537100,7
A0315371G0,7
A033822100,7
A038926100,7
A039879100,7
A0398791G0,7
A045440100,7
A048129100,7
AC28032100,7
AC30120100,7
AC301201G0,7
AC37229100,7
AC43071100,7
B007588100,7
B016350212,7
B017118100,7
B017292100,7
B019953100,7
B023708100,7
A010358100,7
A0103581G0,7
A031889100,7
A032876100,7
A034373100,7
A038600100,7
A048127100,7
A048128100,7
AC30629100,7
AC33224100,7
AC332241G0,7
AC36966100,7
AC369661G0,7
AC38422100,7
AC45926100,7
AC46439100,7
B018540248,7
B019885100,7
B022678100,7
B022997100,7
B023001100,7
A030452100,7
A032275100,7
A032711100,7
A034880100,7
A036790100,7
A038204100,7
A040779100,7
A040949100,7
AC33910100,7
AC33915100,7
AC34598100,7
AC345981G0,7
AC35420100,7
AC354201G0,7
AC36788100,7
AC367881G0,7
AC37204100,7
AC37833100,7
AC37835100,7
B019631100,7
B019632100,7
A039414100,7
A039974100,7
A041281100,7
A042346100,7
A042711100,7
A042712100,7
A044315100,7
A044810100,7
A045975100,7
AC39401100,7
AC394011G0,7
AC41430100,7
AC42584100,7
AC425841G0,7
AC44420100,7
AC444201G0,7
AC44480100,7
AC444801G0,7
AC45254100,7
AC452541G0,7
AC48119100,7
AC481191G0,7
AC57246100,7
B021607100,7
B021608100,7
B021609100,7
A042824100,7
A044161100,7
A045172100,7
A055957100,7
AC43210100,7
AC43330100,7
AC44477100,7
B022151100,7
B022152100,7
B024862100,7
A048972100,7
A049178100,7
AC49904100,7
AC54966100,7
B019238100,7
B024304100,7
B024725100,7
B024855100,7
BC25409100,7
A046995100,7
A048836100,7
A049755100,7
A050177100,7
A054859100,7
A057235100,7
AC51029100,7
B023518100,7
B023603100,7
B025098100,7
B022124100,7
B022126100,7
B019089100,7
B018528100,7
AC46199100,7
AC47002100,7
B021421100,7
A043950100,7
A043951100,7
AC49798100,7
AC49799100,7
A049756100,7
B023757100,7
B023758100,7
B025045100,7
B025046100,7
A049516100,7
AC46742100,7
AC56647100,7
B024544100,7
A049610100,7
A049835100,7
A050240100,7
A052436100,7
A052614100,7
A055531100,7
A055558100,7
A055915100,7
A055931100,7
A055950100,7
AC45203100,7
AC45847100,7
AC46315100,7
AC47911100,7
AC49739100,7
AC49887100,7
AC55296100,7
AC57103100,7
B021914100,7
B023655100,7
B024634100,7
B025307100,7
B025589100,7
A046661100,7
A052593100,7
A057232100,7
AC55557100,7
AC55585100,7
AC56318100,7
AC56320100,7
AC56670100,7
AC57342100,7
AC57343100,7
B023373100,7
B023374100,7
B024645100,7
B024655100,7
B025197100,7
B025210100,7
A056697100,7
AC55028100,7
AC56689100,7
AC57178100,7
AC57204100,7
AC57318100,7
B022551100,7
B022843100,7
B025184100,7
B025185100,7
B025342100,7
B023128100,7
B025095100,7
AC56745100,7
B023161100,7
B023162100,7
AC57234100,7
B024497100,7
B025005100,7
A056719100,7
A057116100,7
AC48757100,7
AC48990100,7
AC50431100,7
AC52568100,7
AC57237100,7
B022989100,7
B024643100,7
B025501100,7
B025650100,7
AC57153100,7
B023109100,7
B023220100,7
B023922100,7
B024968100,7
B024969100,7
B025207100,7
B025208100,7
B023266100,7
B023267100,7
B024742100,7
B024592100,7
B024646100,7
B023649100,7
B023654100,7
A046260100,7
B024521100,7
B024823100,7
B024824100,7
B025072100,7
B025418100,7
B025419100,7
B025420100,7
B025421100,7
B024929100,7
B025492100,7
B025493100,7
B025494100,7
B025495100,7
B025496100,7
BC25446100,7
BC25447100,7
B024883100,7
B024884100,7
B025161100,7
B025162100,7
B025163100,7
B025164100,7
A047771100,7
AB49905100,7
AC50006100,7
B022917100,7
A047629100,7
A049342100,7
A050168100,7
A055576100,7
AB46016100,7
AC47599100,7
AC48637100,7
AC57206100,7
B024403100,7
B025413100,7
A042936100,7
A043188100,7
A043317100,7
A043625100,7
A043656100,7
A043961100,7
AC44063100,7
AC44547100,7
B017664100,7
AC55118100,7
B025423100,7
